"id","time","time_stamp","list","age","lp","doe_catalan","doe_spanish","edu_parent"
"56089",1,2020-05-14,"BL-Short-D",20.3039014373717,"Monolingual",1,0,"University"
"56091",1,2020-05-12,"BL-Short-B",20.2710472279261,"Bilingual",0.6,0.4,"University"
"56093",1,2020-04-07,"BL-Short-A",19.1211498973306,"Bilingual",0.5,0.5,"University"
"56106",1,2020-07-08,"BL-Short-D",22.0451745379877,"Bilingual",0.5,0.5,"University"
"56111",1,2020-05-27,"BL-Short-C",20.5995893223819,"Bilingual",0.5,0.4,"University"
"56126",1,2020-07-02,"BL-Short-A",21.8809034907598,"Bilingual",0.5,0.5,"University"
"56129",1,2020-05-30,"BL-Short-D",20.6324435318275,"Bilingual",0.3,0.7,"University"
"56132",1,2020-04-15,"BL-Short-D",19.3839835728953,"Bilingual",0.6,0.4,"University"
"56137",1,2020-05-28,"BL-Short-D",20.3696098562628,"Bilingual",0.5,0.5,"University"
"56139",1,2020-06-19,"BL-Short-C",21.1252566735113,"Bilingual",0.4,0.6,"University"
"56140",1,2020-04-01,"BL-Short-A",18.5297741273101,"Monolingual",0.1,0.9,"University"
"56144",2,2020-06-11,"BL-Short-D",22.2422997946612,"Monolingual",0.8,0.1,"Vocational"
"56150",1,2020-06-04,"BL-Short-B",21.8480492813142,"Bilingual",0.6,0.4,"University"
"56156",2,2020-06-08,"BL-Short-C",21.9794661190965,"Monolingual",0.9,0.1,NA
"56180",1,2020-05-31,"BL-Short-C",20.4024640657084,"Monolingual",1,0,"University"
"56181",1,2020-05-26,"BL-Short-A",20.2710472279261,"Bilingual",0.5,0.5,"University"
"56187",1,2020-05-26,"BL-Short-A",20.1724845995893,"Monolingual",1,0,"University"
"56201",1,2020-06-02,"BL-Short-B",20.2710472279261,"Bilingual",0.25,0.75,"University"
"56210",1,2020-07-13,"BL-Short-D",21.6180698151951,"Bilingual",0.3,0.7,"Secondary"
"56220",1,2020-05-16,"BL-Short-A",19.64681724846,"Bilingual",0.6,0.4,"Vocational"
"56226",1,2020-04-14,"BL-Short-C",18.5954825462012,"Monolingual",0.9,0.1,"University"
"56229",1,2020-06-10,"BL-Short-A",20.4681724845996,"Monolingual",0.2,0.8,"University"
"56234",1,2020-07-13,"BL-Short-C",21.4537987679671,"Bilingual",0.4,0.6,"University"
"56237",2,2020-11-22,"BL-Lockdown-C",25.7905544147844,"Monolingual",0,1,"University"
"56237",1,2020-05-06,"BL-Short-C",19.2197125256674,"Monolingual",0,1,"University"
"56315",1,2020-07-14,"BL-Short-D",21.3223819301848,"Bilingual",0.3,0.7,"Vocational"
"56317",1,2020-05-25,"BL-Short-A",19.7125256673511,"Bilingual",0.5,0.5,"University"
"56322",1,2020-05-07,"BL-Short-B",19.088295687885,"Bilingual",0.4,0.6,"Vocational"
"56331",1,2020-07-13,"BL-Short-A",21.2566735112936,"Bilingual",0.6,0.4,"University"
"56332",1,2020-05-28,"BL-Short-C",19.7125256673511,"Monolingual",0.1,0.9,"University"
"56334",3,2021-05-02,"BL-Lockdown-A",30.7843942505133,"Monolingual",0.8,0.15,"University"
"56334",1,2020-04-01,"BL-Short-A",17.7741273100616,"Monolingual",1,0,"University"
"56343",1,2020-07-14,"BL-Short-B",21.1581108829569,"Bilingual",0.5,0.5,"University"
"56344",3,2021-04-21,"BL-Lockdown-D",30.4229979466119,"Monolingual",0.2,0.8,"University"
"56344",2,2021-01-01,"BL-Lockdown-D",26.8090349075975,"Monolingual",0.2,0.8,"University"
"56344",1,2020-06-14,"BL-Short-D",20.2053388090349,"Monolingual",0.2,0.8,"University"
"56346",2,2020-11-25,"BL-Lockdown-A",25.5934291581109,"Monolingual",0.8,0.2,"University"
"56346",1,2020-10-31,"BL-Short-A",24.7720739219713,"Monolingual",0.95,0.04,"University"
"56348",1,2020-06-02,"BL-Short-A",19.6139630390144,"Monolingual",0.95,0.05,"Vocational"
"56352",3,2021-05-08,"BL-Lockdown-B",30.7843942505133,"Bilingual",0.5,0.4,"University"
"56363",2,2020-12-08,"BL-Lockdown-D",25.7577002053388,"Monolingual",0.95,0.05,"University"
"56366",2,2021-04-29,"BL-Lockdown-C",30.4558521560575,"Bilingual",0.3,0.7,"University"
"56368",1,2020-07-13,"BL-Short-C",20.829568788501,"Bilingual",0.5,0.5,"University"
"56371",4,2021-03-22,"BL-Lockdown-A",29.1088295687885,"Monolingual",0.98,0.02,"University"
"56371",3,2020-12-11,"BL-Lockdown-A",25.7905544147844,"Monolingual",0.95,0.05,"University"
"56371",2,2020-05-28,"BL-Short-A",19.3182751540041,"Monolingual",0.85,0.15,"University"
"56374",2,2020-11-26,"BL-Lockdown-D",25.1991786447639,"Bilingual",0.4,0.6,"University"
"56374",1,2020-07-14,"BL-Short-D",20.7638603696099,"Bilingual",0.4,0.6,"University"
"56381",1,2020-05-28,"BL-Short-C",19.1540041067762,"Monolingual",1,0,"Vocational"
"56382",2,2020-12-09,"BL-Lockdown-A",25.5605749486653,"Bilingual",0.5,0.5,"University"
"56382",1,2020-05-07,"BL-Short-A",18.4640657084189,"Monolingual",0,1,"Vocational"
"56383",1,2020-04-02,"BL-Short-A",17.2813141683778,"Monolingual",0.1,0.8,"Vocational"
"56386",1,2020-05-28,"BL-Short-C",19.1211498973306,"Monolingual",0.8,0.05,"University"
