"te","meaning","language","item","ipa","xsampa","lv","n_phon","n_syll","syll","freq","freq_syll","list"
240,"fingernail","Spanish","una1","ˈu.ɲas","""u.Jas",0.2,4,2,"u, Jas",5.72182423855839,11.9373096136505,"A, B, C, D"
241,"coat","Catalan","abric","əˈβɾik","@""B4ik",0.5,5,2,"@, B4ik",5.88513073558201,13.0893443422586,"A"
241,"coat","Spanish","abrigo","aˈβɾi.ɣo","a""B4i.Go",0.5,6,3,"a, B4i, Go",5.88513073558201,19.6943048643746,"A"
242,"bib","Catalan","pitet","piˈtɛt","pi""tEt",0,5,2,"pi, tEt",5.85452937767363,13.2720559163042,"A, B, C, D"
242,"bib","Spanish","babero","baˈβe.ɾo","ba""Be.4o",0,6,3,"ba, Be, 4o",5.85452937767363,20.5721384269859,"A, B, C, D"
245,"purse","Catalan","bossa1","ˈbo.sə","""bo.s@",0.6,4,2,"bo, s@",6.00785615329129,13.6532629881196,"A"
245,"purse","Spanish","bolso","ˈbol.so","""bol.so",0.6,5,2,"bol, so",6.00785615329129,13.613611592226,"A"
246,"boots","Catalan","bota","ˈbɔ.tə","""bO.t@",0.4,4,2,"bO, t@",5.935493704841,13.4604739464379,"B"
246,"boots","Spanish","bota","ˈbo.tas","""bo.tas",0.4,5,2,"bo, tas",5.935493704841,13.3559393398144,"B"
247,"button","Catalan","boto","buˈto","bu""to",0.6,4,2,"bu, to",5.9885802886538,13.0594004586302,"A, B, C, D"
247,"button","Spanish","boton","boˈton","bo""ton",0.6,5,2,"bo, ton",5.9885802886538,13.2350841223537,"A, B, C, D"
248,"scarf","Catalan","bufanda","buˈfan.ðə","bu""fan.D@",0.857142857142857,7,3,"bu, fan, D@",5.74010761640651,19.7417339168111,"D"
248,"scarf","Spanish","bufanda","buˈfan.ða","bu""fan.Da",0.857142857142857,7,3,"bu, fan, Da",5.74010761640651,19.7265674907489,"D"
249,"sock","Catalan","mitjo","miˈdʒo","mi""dZo",0.1,5,2,"mi, dZo",6.03270027109711,12.8226202831323,"A, B, C, D"
249,"sock","Spanish","calcetin","kalˈθeˈti.nes","kal""Te""ti.nes",0.1,10,4,"kal, Te, ti, nes",6.03270027109711,26.5150179074429,"A, B, C, D"
250,"shirt","Catalan","samarreta","sə.məˈrɛ.tə","s@.m@""rE.t@",0.25,8,4,"s@, m@, rE, t@",6.01657894491926,27.5376622902739,"A, B, C, D"
250,"shirt","Spanish","camiseta","ka.miˈse.ta","ka.mi""se.ta",0.25,8,4,"ka, mi, se, ta",6.01657894491926,27.9863400733974,"A, B, C, D"
251,"jacket","Catalan","jaqueta","ʒəˈkɛ.tə","Z@""kE.t@",0.285714285714286,6,3,"Z@, kE, t@",5.95243935379776,20.7543990645618,"C"
251,"jacket","Spanish","chaqueta","tʃaˈke.ta","tSa""ke.ta",0.285714285714286,7,3,"tSa, ke, ta",5.95243935379776,20.73361026802,"C"
252,"belt","Catalan","cinturo","sin.tuˈɾo","sin.tu""4o",0.75,7,3,"sin, tu, 4o",5.85331820133232,19.5860779866585,"D"
252,"belt","Spanish","cinturon","θin.tuˈɾon","Tin.tu""4on",0.75,8,3,"Tin, tu, 4on",5.85331820133232,18.7732533776399,"D"
253,"necklace","Catalan","collaret","ku.ʎəˈɾɛt","ku.L@""4Et",0.428571428571429,7,3,"ku, L@, 4Et",5.78926638284062,19.74936176395,"A"
253,"necklace","Spanish","collar","koˈʎaɾ","ko""La4",0.428571428571429,5,2,"ko, La4",5.78926638284062,12.8740151158326,"A"
255,"zipper","Catalan","cremallera","kɾə.məˈʎe.ɾə","k4@.m@""Le.4@",0.666666666666667,9,4,"k4@, m@, Le, 4@",6.02014745538956,27.3812624836116,"C"
255,"zipper","Spanish","cremallera","kɾe.maˈʎe.ɾa","k4e.ma""Le.4a",0.666666666666667,9,4,"k4e, ma, Le, 4a",6.02014745538956,27.2085228771129,"C"
256,"skirt","Catalan","faldilla","fəɫˈdi.ʎə","f@5""di.L@",0.142857142857143,7,3,"f@5, di, L@",5.94798778253309,19.7200866404065,"D"
256,"skirt","Spanish","falda","ˈfal.ða","""fal.Da",0.142857142857143,5,2,"fal, Da",5.94798778253309,12.9022240541854,"D"
257,"glasses","Catalan","ulleres","uˈʎe.ɾəs","u""Le.4@s",0.166666666666667,6,3,"u, Le, 4@s",6.04349970276785,19.720928964743,"A, B, C, D"
257,"glasses","Spanish","gafas","ˈɡa.fas","""ga.fas",0.166666666666667,5,2,"ga, fas",6.04349970276785,12.8350234598113,"A, B, C, D"
258,"glove","Catalan","guant","ˈɡwans","""gwans",0.714285714285714,5,1,"gwans",5.83784025726279,5.83784025726279,"B"
258,"glove","Spanish","guante","ˈɡwan.tes","""gwan.tes",0.714285714285714,7,2,"gwan, tes",5.83784025726279,12.3855658051571,"B"
262,"pants","Catalan","pantalo","pən.təˈɫo","p@n.t@""5o",0.4,7,3,"p@n, t@, 5o",5.99747264021903,19.7598389478283,"B"
262,"pants","Spanish","pantalon","pan.taˈlo.nes","pan.ta""lo.nes",0.4,10,4,"pan, ta, lo, nes",5.99747264021903,27.623962687924,"B"
264,"earring","Catalan","arracades","ə.rəˈka.ðə","@.r@""ka.D@",0,7,4,"@, r@, ka, D@",5.80727328942591,27.9316325203835,"A, B, C, D"
264,"earring","Spanish","pendientes","penˈðjen.tes","pen""Djen.tes",0,10,3,"pen, Djen, tes",5.80727328942591,18.1622721267461,"A, B, C, D"
265,"pajamas","Catalan","pijama","piˈʒa.mə","pi""Za.m@",0.666666666666667,6,3,"pi, Za, m@",5.91845034090375,20.3492437972402,"A"
265,"pajamas","Spanish","pijama","piˈxa.ma","pi""xa.ma",0.666666666666667,6,3,"pi, xa, ma",5.91845034090375,21.0645142393234,"A"
266,"clothes","Catalan","roba","ˈrɔ.βə","""rO.B@",0.25,4,2,"rO, B@",5.98982254025462,13.1867180186356,"B"
266,"clothes","Spanish","ropa","ˈro.pa","""ro.pa",0.25,4,2,"ro, pa",5.98982254025462,14.2190519410958,"B"
267,"sandal","Catalan","sandalia","sənˈða.ɫi.ə","s@n""Da.5i.@",0.444444444444444,8,4,"s@n, Da, 5i, @",5.73245282788923,25.2824851718687,"C"
267,"sandal","Spanish","sandalia","sanˈða.ljas","san""Da.ljas",0.444444444444444,9,3,"san, Da, ljas",5.73245282788923,19.0802714612329,"C"
269,"dress (action)","Catalan","vestit","bəsˈtit","b@s""tit",0.571428571428571,6,2,"b@s, tit",6.0525548379285,12.105109675857,"A"
269,"dress (action)","Spanish","vestido","besˈti.ðo","bes""ti.Do",0.571428571428571,7,3,"bes, ti, Do",6.0525548379285,20.0000714602412,"A"
270,"sneaker","Catalan","sabatilla","sə.βəˈti.ʎə","s@.B@""ti.L@",0.333333333333333,8,4,"s@, B@, ti, L@",5.7089717320397,27.5350631261166,"B"
270,"sneaker","Spanish","zapatillas","θa.paˈti.ʎas","Ta.pa""ti.Las",0.333333333333333,9,4,"Ta, pa, ti, Las",5.7089717320397,27.364024935173,"B"
271,"shoe","Catalan","sabata","saˈβə.tə","sa""B@.t@",0.285714285714286,6,3,"sa, B@, t@",6.15233510458656,20.8217255587108,"A, B, C, D"
271,"shoe","Spanish","zapato","θaˈpa.tos","Ta""pa.tos",0.285714285714286,7,3,"Ta, pa, tos",6.15233510458656,20.8324369050781,"A, B, C, D"
